ProductID,ProductName,ProductDescription,BrandName,ProductNumber,Color,ProductModel,ProductCategoryID,CategoryName,ListPrice,StandardCost,Weight,WeightUom,ProductStatus,CreatedDate,SellStartDate,SellEndDate,IsoCurrencyCode,UpdatedDate,CreatedBy,UpdatedBy
3011,Alpine Pro Racing Skis - 170cm,High-performance alpine racing skis designed for competitive skiing with advanced edge control and precision handling,Contoso Ski Sportswear,SKI-ALP-3011,Black,Model-2024-Pro,301,Alpine Skis,1299.99,875.50,3.2,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3012,Mountain Master All-Terrain Skis - 165cm,Versatile all-mountain skis perfect for groomed runs and light off-piste adventures with balanced performance,Contoso Ski Sportswear,SKI-ALP-3012,Blue,Model-2024-Master,301,Alpine Skis,899.99,625.75,3.1,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3013,Beginner's Choice Alpine Skis - 160cm,Entry-level alpine skis with forgiving flex and easy turn initiation perfect for learning and progression,Contoso Ski Sportswear,SKI-ALP-3013,Red,Model-2024-Choice,301,Alpine Skis,449.99,325.25,2.9,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3021,Nordic Classic XC Skis - 185cm,Traditional cross-country skis with classic profile for groomed track skiing and touring,Contoso Ski Sportswear,SKI-XC-3021,Natural,Model-2024-Classic,302,Cross-Country Skis,349.99,245.50,1.8,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3022,Backcountry Explorer XC Skis - 190cm,Robust cross-country skis designed for backcountry exploration and off-track adventures,Contoso Ski Sportswear,SKI-XC-3022,Black,Model-2024-Explorer,302,Cross-Country Skis,549.99,395.75,2.0,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3031,Pro Flex Racing Ski Boots,Professional racing ski boots with precision fit and responsive flex for competitive performance,Contoso Ski Sportswear,BOOT-PRO-3031,Black,Model-2024-ProFlex,303,Ski Boots,649.99,485.00,2.5,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3032,Comfort Fit Recreational Boots,Recreational ski boots with comfort-focused design and easy entry for casual skiing,Contoso Ski Sportswear,BOOT-REC-3032,Brown,Model-2024-Comfort,303,Ski Boots,399.99,285.25,2.3,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3033,Women's Performance Ski Boots,Women-specific ski boots with anatomical design and performance-oriented features,Contoso Ski Sportswear,BOOT-WOM-3033,Purple,Model-2024-Performance,303,Ski Boots,579.99,425.50,2.2,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3041,Carbon Fiber Racing Poles - 120cm,Ultra-lightweight carbon fiber ski poles designed for racing with precision balance and durability,Contoso Ski Sportswear,POLE-CAR-3041,Black,Model-2024-Carbon,304,Ski Poles,179.99,125.75,0.45,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
3042,Aluminum All-Mountain Poles - 115cm,Versatile aluminum ski poles suitable for all-mountain skiing with comfortable grips and reliable construction,Contoso Ski Sportswear,POLE-ALU-3042,Silver,Model-2024-AllMtn,304,Ski Poles,99.99,65.50,0.6,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
