PurchaseOrderItemID,PurchaseOrderID,PurchaseOrderNumber,ProductID,ProductName,QuantityOrdered,QuantityReceived,UnitCost,LineTotal,Status,ExpectedDate,ReceivedDate,Notes,CreatedBy,CreatedDate
1,1,PO-2026-0001,1511,Alpine Explorer Tent,5,5.0,288.7,1443.5,Received,2026-03-15,2026-03-28,Supplier SKU: ALT-1511,system,2026-02-20
2,1,PO-2026-0001,3013,Beginner's Choice Alpine Skis - 160cm,24,24.0,312.31,7495.44,Received,2026-03-15,2026-03-28,Supplier SKU: ALT-3013,system,2026-02-20
3,1,PO-2026-0001,2021,Chef Knife,2,2.0,56.88,113.76,Received,2026-03-15,2026-03-28,Supplier SKU: ALT-2021,system,2026-02-20
4,1,PO-2026-0001,1512,SkyView 2-Person Tent,16,14.0,210.91,3374.56,Backordered,2026-03-15,2026-03-28,Supplier SKU: ALT-1512,system,2026-02-20
5,2,PO-2026-0002,2021,Chef Knife,9,9.0,59.8,538.2,Received,2026-02-09,2026-02-10,Supplier SKU: PRO-2021,system,2026-01-31
6,2,PO-2026-0002,2011,Coffee Maker,4,4.0,120.91,483.64,Received,2026-02-09,2026-02-10,Supplier SKU: PRO-2011,system,2026-01-31
7,2,PO-2026-0002,2012,Espresso Machine,21,21.0,281.0,5901.0,Received,2026-02-09,2026-02-10,Supplier SKU: PRO-2012,system,2026-01-31
8,2,PO-2026-0002,2051,Ice Cream Bowl,6,6.0,15.41,92.46,Received,2026-02-09,2026-02-10,Supplier SKU: PRO-2051,system,2026-01-31
9,2,PO-2026-0002,2031,Coffee Mug,4,4.0,20.25,81.0,Received,2026-02-09,2026-02-10,Supplier SKU: PRO-2031,system,2026-01-31
10,3,PO-2026-0003,1581,LED Headlamp - Rechargeable,9,,44.25,398.25,Pending,2026-05-09,,Supplier SKU: CON-1581,system,2026-04-25
11,3,PO-2026-0003,1531,Summit Breeze Jacket,6,,85.71,514.26,Pending,2026-05-09,,Supplier SKU: CON-1531,system,2026-04-25
12,3,PO-2026-0003,1572,MountainDream Sleeping Bag,5,,177.25,886.25,Pending,2026-05-09,,Supplier SKU: CON-1572,system,2026-04-25
13,4,PO-2026-0004,1532,TrailBlaze Hiking Pants,4,4.0,54.8,219.2,Received,2026-04-11,2026-04-13,Supplier SKU: CON-1532,system,2026-04-02
14,4,PO-2026-0004,1552,TrekMaster Camping Chair,17,17.0,45.98,781.66,Received,2026-04-11,2026-04-13,Supplier SKU: CON-1552,system,2026-04-02
15,4,PO-2026-0004,1561,EcoFire Camping Stove,18,18.0,79.86,1437.48,Received,2026-04-11,2026-04-13,Supplier SKU: CON-1561,system,2026-04-02
16,5,PO-2026-0005,3012,Mountain Master All-Terrain Skis - 165cm,13,13.0,576.86,7499.18,Received,2026-02-23,2026-02-26,Supplier SKU: SPE-3012,system,2026-02-04
17,5,PO-2026-0005,3013,Beginner's Choice Alpine Skis - 160cm,13,13.0,298.3,3877.9,Received,2026-02-23,2026-02-26,Supplier SKU: SPE-3013,system,2026-02-04
18,5,PO-2026-0005,3021,Nordic Classic XC Skis - 185cm,11,11.0,228.78,2516.58,Received,2026-02-23,2026-02-26,Supplier SKU: SPE-3021,system,2026-02-04
19,7,PO-2026-0007,1521,Adventurer Pro Backpack,20,,118.13,2362.6,Pending,2026-05-09,,Supplier SKU: ALT-1521,system,2026-04-15
20,7,PO-2026-0007,2011,Coffee Maker,7,,118.4,828.8,Pending,2026-05-09,,Supplier SKU: ALT-2011,system,2026-04-15
21,7,PO-2026-0007,3012,Mountain Master All-Terrain Skis - 165cm,9,,567.17,5104.53,Pending,2026-05-09,,Supplier SKU: ALT-3012,system,2026-04-15
22,7,PO-2026-0007,3013,Beginner's Choice Alpine Skis - 160cm,20,,312.31,6246.2,Pending,2026-05-09,,Supplier SKU: ALT-3013,system,2026-04-15
23,8,PO-2026-0008,1572,MountainDream Sleeping Bag,7,7.0,177.25,1240.75,Received,2026-03-27,2026-03-27,Supplier SKU: CON-1572,system,2026-03-18
24,10,PO-2026-0010,3053,Waterproof Ski Pants,10,10.0,123.28,1232.8,Received,2026-04-10,2026-04-12,Supplier SKU: WIN-3053,system,2026-03-25
25,10,PO-2026-0010,3062,Anti-Fog Ski Goggles,10,10.0,71.96,719.6,Received,2026-04-10,2026-04-12,Supplier SKU: WIN-3062,system,2026-03-25
26,10,PO-2026-0010,3022,Backcountry Explorer XC Skis - 190cm,1,1.0,358.21,358.21,Received,2026-04-10,2026-04-12,Supplier SKU: WIN-3022,system,2026-03-25
27,10,PO-2026-0010,3092,All-Mountain Snowboard - 158cm,4,4.0,488.21,1952.84,Received,2026-04-10,2026-04-12,Supplier SKU: WIN-3092,system,2026-03-25
28,10,PO-2026-0010,3033,Women's Performance Ski Boots,2,2.0,407.14,814.28,Received,2026-04-10,2026-04-12,Supplier SKU: WIN-3033,system,2026-03-25
