PurchaseOrderItemID,PurchaseOrderID,PurchaseOrderNumber,ProductID,ProductName,ProductCategory,QuantityOrdered,QuantityReceived,UnitCost,LineTotal,Status,ExpectedDate,ReceivedDate,Notes,CreatedBy,CreatedDate
1,1,PO-2026-0001,1563,CompactCook Camping Stove,Camping,3,3.0,63.62,190.86,Received,2026-04-14,2026-04-15,Supplier SKU: CON-1563,system,2026-04-02
2,1,PO-2026-0001,1572,MountainDream Sleeping Bag,Camping,112,112.0,223.02,24978.24,Received,2026-04-14,2026-04-15,Supplier SKU: CON-1572,system,2026-04-02
3,2,PO-2026-0002,3062,Anti-Fog Ski Goggles,Ski,37,37.0,103.64,3834.68,Received,2026-03-08,2026-03-08,Supplier SKU: ALP-3062,system,2026-02-23
4,2,PO-2026-0002,3032,Comfort Fit Recreational Boots,Ski,176,163.0,309.3,54436.8,Backordered,2026-03-08,2026-03-08,Supplier SKU: ALP-3032,system,2026-02-23
5,3,PO-2026-0003,3062,Anti-Fog Ski Goggles,Ski,4,4.0,86.65,346.6,Received,2026-02-13,2026-02-13,Supplier SKU: FAB-3062,system,2026-02-01
6,3,PO-2026-0003,3021,Nordic Classic XC Skis - 185cm,Ski,65,65.0,263.35,17117.75,Received,2026-02-13,2026-02-13,Supplier SKU: FAB-3021,system,2026-02-01
7,3,PO-2026-0003,3081,All-Temp Ski Wax Kit,Ski,1,1.0,65.83,65.83,Received,2026-02-13,2026-02-13,Supplier SKU: FAB-3081,system,2026-02-01
8,4,PO-2026-0004,3091,Freestyle Snowboard - 155cm,Ski,95,95.0,449.2,42674.0,Received,2026-02-28,2026-03-02,Supplier SKU: WOR-3091,system,2026-02-04
9,4,PO-2026-0004,1562,PowerBurner Camping Stove,Camping,33,33.0,136.07,4490.31,Received,2026-02-28,2026-03-02,Supplier SKU: WOR-1562,system,2026-02-04
10,4,PO-2026-0004,3104,Ski Tuning Bench - Portable,Ski,38,38.0,152.16,5782.08,Received,2026-02-28,2026-03-02,Supplier SKU: WOR-3104,system,2026-02-04
11,4,PO-2026-0004,2111,High-Speed Blender,Kitchen,15,15.0,164.8,2472.0,Received,2026-02-28,2026-03-02,Supplier SKU: WOR-2111,system,2026-02-04
12,4,PO-2026-0004,1563,CompactCook Camping Stove,Camping,3,3.0,63.24,189.72,Received,2026-02-28,2026-03-02,Supplier SKU: WOR-1563,system,2026-02-04
13,5,PO-2026-0005,2071,Baking Pan,Kitchen,184,184.0,23.09,4248.56,Received,2026-04-24,2026-04-26,Supplier SKU: PRO-2071,system,2026-04-16
14,5,PO-2026-0005,2012,Espresso Machine,Kitchen,24,24.0,285.82,6859.68,Received,2026-04-24,2026-04-26,Supplier SKU: PRO-2012,system,2026-04-16
15,5,PO-2026-0005,2031,Coffee Mug,Kitchen,60,60.0,22.75,1365.0,Received,2026-04-24,2026-04-26,Supplier SKU: PRO-2031,system,2026-04-16
16,6,PO-2026-0006,1571,CozyNights Sleeping Bag,Camping,93,93.0,126.79,11791.47,Received,2026-04-22,2026-04-22,Supplier SKU: WOR-1571,system,2026-03-30
17,7,PO-2026-0007,1571,CozyNights Sleeping Bag,Camping,187,187.0,126.79,23709.73,Received,2026-04-18,2026-04-21,Supplier SKU: WOR-1571,system,2026-03-25
18,7,PO-2026-0007,2111,High-Speed Blender,Kitchen,42,42.0,164.8,6921.6,Received,2026-04-18,2026-04-21,Supplier SKU: WOR-2111,system,2026-03-25
19,7,PO-2026-0007,3104,Ski Tuning Bench - Portable,Ski,30,30.0,152.16,4564.8,Received,2026-04-18,2026-04-21,Supplier SKU: WOR-3104,system,2026-03-25
20,7,PO-2026-0007,2121,Bamboo Cutting Board Set,Kitchen,1,1.0,37.42,37.42,Received,2026-04-18,2026-04-21,Supplier SKU: WOR-2121,system,2026-03-25
21,7,PO-2026-0007,3011,Alpine Pro Racing Skis - 170cm,Ski,5,5.0,1047.55,5237.75,Received,2026-04-18,2026-04-21,Supplier SKU: WOR-3011,system,2026-03-25
22,8,PO-2026-0008,3041,Carbon Fiber Racing Poles - 120cm,Ski,4,4.0,130.35,521.4,Received,2026-02-28,2026-03-03,Supplier SKU: ALP-3041,system,2026-02-17
23,8,PO-2026-0008,3062,Anti-Fog Ski Goggles,Ski,56,56.0,103.64,5803.84,Received,2026-02-28,2026-03-03,Supplier SKU: ALP-3062,system,2026-02-17
24,8,PO-2026-0008,3033,Women's Performance Ski Boots,Ski,1,1.0,376.2,376.2,Received,2026-02-28,2026-03-03,Supplier SKU: ALP-3033,system,2026-02-17
25,9,PO-2026-0009,1521,Adventurer Pro Backpack,Camping,4,4.0,114.97,459.88,Received,2026-03-18,2026-03-18,Supplier SKU: CON-1521,system,2026-03-08
26,9,PO-2026-0009,1551,BaseCamp Folding Table,Camping,109,109.0,71.85,7831.65,Received,2026-03-18,2026-03-18,Supplier SKU: CON-1551,system,2026-03-08
27,9,PO-2026-0009,1511,Alpine Explorer Tent,Camping,53,53.0,319.45,16930.85,Received,2026-03-18,2026-03-18,Supplier SKU: CON-1511,system,2026-03-08
28,9,PO-2026-0009,1533,RainGuard Hiking Jacket,Camping,133,133.0,135.73,18052.09,Received,2026-03-18,2026-03-18,Supplier SKU: CON-1533,system,2026-03-08
29,9,PO-2026-0009,1532,TrailBlaze Hiking Pants,Camping,5,5.0,64.18,320.9,Received,2026-03-18,2026-03-18,Supplier SKU: CON-1532,system,2026-03-08
30,10,PO-2026-0010,3021,Nordic Classic XC Skis - 185cm,Ski,53,,263.35,13957.55,Shipped,2026-03-15,,Supplier SKU: FAB-3021,system,2026-02-27
31,11,PO-2026-0011,2061,Mixing Bowl,Kitchen,24,24.0,29.75,714.0,Received,2026-04-23,2026-04-23,Supplier SKU: PRO-2061,system,2026-04-11
32,11,PO-2026-0011,2021,Chef Knife,Kitchen,32,32.0,64.53,2064.96,Received,2026-04-23,2026-04-23,Supplier SKU: PRO-2021,system,2026-04-11
33,11,PO-2026-0011,2091,Spatula,Kitchen,48,48.0,8.02,384.96,Received,2026-04-23,2026-04-23,Supplier SKU: PRO-2091,system,2026-04-11
34,11,PO-2026-0011,2112,4-Slice Toaster,Kitchen,131,131.0,67.04,8782.24,Received,2026-04-23,2026-04-23,Supplier SKU: PRO-2112,system,2026-04-11
35,11,PO-2026-0011,2111,High-Speed Blender,Kitchen,234,234.0,143.0,33462.0,Received,2026-04-23,2026-04-23,Supplier SKU: PRO-2111,system,2026-04-11
36,12,PO-2026-0012,3011,Alpine Pro Racing Skis - 170cm,Ski,223,,972.91,216958.93,Shipped,2026-05-03,,Supplier SKU: ALP-3011,system,2026-04-17
37,12,PO-2026-0012,3061,Professional Ski Helmet,Ski,75,,121.49,9111.75,Shipped,2026-05-03,,Supplier SKU: ALP-3061,system,2026-04-17
38,12,PO-2026-0012,3013,Beginner's Choice Alpine Skis - 160cm,Ski,128,,324.01,41473.28,Shipped,2026-05-03,,Supplier SKU: ALP-3013,system,2026-04-17
39,13,PO-2026-0013,3071,Ski Boot Bag - Premium,Ski,136,136.0,42.02,5714.72,Received,2026-03-17,2026-03-17,Supplier SKU: ALP-3071,system,2026-02-28
40,13,PO-2026-0013,3092,All-Mountain Snowboard - 158cm,Ski,88,88.0,498.01,43824.88,Received,2026-03-17,2026-03-17,Supplier SKU: ALP-3092,system,2026-02-28
41,13,PO-2026-0013,3061,Professional Ski Helmet,Ski,97,97.0,121.49,11784.53,Received,2026-03-17,2026-03-17,Supplier SKU: ALP-3061,system,2026-02-28
42,14,PO-2026-0014,3062,Anti-Fog Ski Goggles,Ski,1,0.0,86.65,86.65,Backordered,2026-04-25,2026-04-25,Supplier SKU: FAB-3062,system,2026-04-06
43,14,PO-2026-0014,3081,All-Temp Ski Wax Kit,Ski,5,4.0,65.83,329.15,Backordered,2026-04-25,2026-04-25,Supplier SKU: FAB-3081,system,2026-04-06
44,14,PO-2026-0014,3021,Nordic Classic XC Skis - 185cm,Ski,100,82.0,263.35,26335.0,Backordered,2026-04-25,2026-04-25,Supplier SKU: FAB-3021,system,2026-04-06
45,15,PO-2026-0015,3081,All-Temp Ski Wax Kit,Ski,2,2.0,65.83,131.66,Received,2026-02-28,2026-03-02,Supplier SKU: FAB-3081,system,2026-02-13
46,15,PO-2026-0015,3021,Nordic Classic XC Skis - 185cm,Ski,132,132.0,263.35,34762.2,Received,2026-02-28,2026-03-02,Supplier SKU: FAB-3021,system,2026-02-13
47,15,PO-2026-0015,3062,Anti-Fog Ski Goggles,Ski,3,3.0,86.65,259.95,Received,2026-02-28,2026-03-02,Supplier SKU: FAB-3062,system,2026-02-13
48,16,PO-2026-0016,3071,Ski Boot Bag - Premium,Ski,153,153.0,42.02,6429.06,Received,2026-02-18,2026-02-20,Supplier SKU: ALP-3071,system,2026-02-02
49,16,PO-2026-0016,3072,Hand Warmers - 10 Pack,Ski,38,38.0,11.62,441.56,Received,2026-02-18,2026-02-20,Supplier SKU: ALP-3072,system,2026-02-02
50,16,PO-2026-0016,3011,Alpine Pro Racing Skis - 170cm,Ski,225,225.0,972.91,218904.75,Received,2026-02-18,2026-02-20,Supplier SKU: ALP-3011,system,2026-02-02
51,17,PO-2026-0017,2112,4-Slice Toaster,Kitchen,210,,67.04,14078.4,Shipped,2026-05-03,,Supplier SKU: PRO-2112,system,2026-04-23
52,17,PO-2026-0017,2091,Spatula,Kitchen,36,,8.02,288.72,Shipped,2026-05-03,,Supplier SKU: PRO-2091,system,2026-04-23
53,17,PO-2026-0017,2081,Food Storage Set,Kitchen,4,,24.64,98.56,Shipped,2026-05-03,,Supplier SKU: PRO-2081,system,2026-04-23
54,17,PO-2026-0017,2111,High-Speed Blender,Kitchen,121,,143.0,17303.0,Shipped,2026-05-03,,Supplier SKU: PRO-2111,system,2026-04-23
55,17,PO-2026-0017,2121,Bamboo Cutting Board Set,Kitchen,88,,31.18,2743.84,Shipped,2026-05-03,,Supplier SKU: PRO-2121,system,2026-04-23
56,18,PO-2026-0018,1552,TrekMaster Camping Chair,Camping,200,,57.02,11404.0,Shipped,2026-05-05,,Supplier SKU: CON-1552,system,2026-04-27
57,19,PO-2026-0019,3051,Insulated Ski Jacket - Men's,Ski,76,,205.78,15639.28,Shipped,2026-02-28,,Supplier SKU: ALP-3051,system,2026-02-12
58,20,PO-2026-0020,2031,Coffee Mug,Kitchen,35,35.0,22.75,796.25,Received,2026-03-05,2026-03-05,Supplier SKU: PRO-2031,system,2026-02-20
59,20,PO-2026-0020,2101,Measuring Cup Set,Kitchen,92,85.0,13.62,1253.04,Backordered,2026-03-05,2026-03-05,Supplier SKU: PRO-2101,system,2026-02-20
60,20,PO-2026-0020,2061,Mixing Bowl,Kitchen,7,7.0,29.75,208.25,Received,2026-03-05,2026-03-05,Supplier SKU: PRO-2061,system,2026-02-20
61,20,PO-2026-0020,2111,High-Speed Blender,Kitchen,164,164.0,143.0,23452.0,Received,2026-03-05,2026-03-05,Supplier SKU: PRO-2111,system,2026-02-20
62,20,PO-2026-0020,2021,Chef Knife,Kitchen,36,36.0,64.53,2323.08,Received,2026-03-05,2026-03-05,Supplier SKU: PRO-2021,system,2026-02-20
63,21,PO-2026-0021,2022,Fork Set,Kitchen,36,36.0,32.35,1164.6,Received,2026-03-05,2026-03-07,Supplier SKU: PRO-2022,system,2026-02-18
64,21,PO-2026-0021,2061,Mixing Bowl,Kitchen,10,10.0,29.75,297.5,Received,2026-03-05,2026-03-07,Supplier SKU: PRO-2061,system,2026-02-18
65,22,PO-2026-0022,1561,EcoFire Camping Stove,Camping,22,22.0,79.9,1757.8,Received,2026-03-11,2026-03-12,Supplier SKU: CON-1561,system,2026-02-27
66,22,PO-2026-0022,1541,TrekReady Hiking Boots,Camping,33,33.0,108.03,3564.99,Received,2026-03-11,2026-03-12,Supplier SKU: CON-1541,system,2026-02-27
67,22,PO-2026-0022,1512,SkyView 2-Person Tent,Camping,19,17.0,216.49,4113.31,Backordered,2026-03-11,2026-03-12,Supplier SKU: CON-1512,system,2026-02-27
68,23,PO-2026-0023,3021,Nordic Classic XC Skis - 185cm,Ski,146,146.0,263.35,38449.1,Received,2026-04-16,2026-04-16,Supplier SKU: FAB-3021,system,2026-04-02
69,23,PO-2026-0023,3081,All-Temp Ski Wax Kit,Ski,4,4.0,65.83,263.32,Received,2026-04-16,2026-04-16,Supplier SKU: FAB-3081,system,2026-04-02
70,24,PO-2026-0024,3091,Freestyle Snowboard - 155cm,Ski,2,2.0,424.1,848.2,Received,2026-03-03,2026-03-03,Supplier SKU: ALP-3091,system,2026-02-15
71,24,PO-2026-0024,3042,Aluminum All-Mountain Poles - 115cm,Ski,22,22.0,60.04,1320.88,Received,2026-03-03,2026-03-03,Supplier SKU: ALP-3042,system,2026-02-15
72,24,PO-2026-0024,3082,Edge Tuning Tool Set,Ski,88,88.0,85.34,7509.92,Received,2026-03-03,2026-03-03,Supplier SKU: ALP-3082,system,2026-02-15
73,24,PO-2026-0024,3081,All-Temp Ski Wax Kit,Ski,44,44.0,59.28,2608.32,Received,2026-03-03,2026-03-03,Supplier SKU: ALP-3081,system,2026-02-15
74,24,PO-2026-0024,3092,All-Mountain Snowboard - 158cm,Ski,120,120.0,498.01,59761.2,Received,2026-03-03,2026-03-03,Supplier SKU: ALP-3092,system,2026-02-15
75,25,PO-2026-0025,2111,High-Speed Blender,Kitchen,34,34.0,164.8,5603.2,Received,2026-04-05,2026-04-06,Supplier SKU: WOR-2111,system,2026-03-16
76,26,PO-2026-0026,2111,High-Speed Blender,Kitchen,174,174.0,143.0,24882.0,Received,2026-02-14,2026-02-15,Supplier SKU: PRO-2111,system,2026-01-31
77,26,PO-2026-0026,2071,Baking Pan,Kitchen,217,217.0,23.09,5010.53,Received,2026-02-14,2026-02-15,Supplier SKU: PRO-2071,system,2026-01-31
78,26,PO-2026-0026,2061,Mixing Bowl,Kitchen,7,4.0,29.75,208.25,Backordered,2026-02-14,2026-02-15,Supplier SKU: PRO-2061,system,2026-01-31
79,27,PO-2026-0027,1522,SummitClimber Backpack,Camping,4,4.0,161.55,646.2,Received,2026-03-22,2026-03-23,Supplier SKU: CON-1522,system,2026-03-10
80,27,PO-2026-0027,1562,PowerBurner Camping Stove,Camping,5,5.0,135.02,675.1,Received,2026-03-22,2026-03-23,Supplier SKU: CON-1562,system,2026-03-10
81,27,PO-2026-0027,1541,TrekReady Hiking Boots,Camping,47,47.0,108.03,5077.41,Received,2026-03-22,2026-03-23,Supplier SKU: CON-1541,system,2026-03-10
82,27,PO-2026-0027,1521,Adventurer Pro Backpack,Camping,5,5.0,114.97,574.85,Received,2026-03-22,2026-03-23,Supplier SKU: CON-1521,system,2026-03-10
83,28,PO-2026-0028,3081,All-Temp Ski Wax Kit,Ski,1,,65.83,65.83,Pending,2026-05-01,,Supplier SKU: FAB-3081,system,2026-04-16
84,29,PO-2026-0029,2081,Food Storage Set,Kitchen,3,3.0,24.64,73.92,Received,2026-03-02,2026-03-05,Supplier SKU: PRO-2081,system,2026-02-20
85,29,PO-2026-0029,2031,Coffee Mug,Kitchen,124,124.0,22.75,2821.0,Received,2026-03-02,2026-03-05,Supplier SKU: PRO-2031,system,2026-02-20
