ProductID,ProductName,ProductDescription,BrandName,ProductNumber,Color,ProductModel,ProductCategoryID,CategoryName,ListPrice,StandardCost,Weight,WeightUom,ProductStatus,CreatedDate,SellStartDate,SellEndDate,IsoCurrencyCode,UpdatedDate,CreatedBy,UpdatedBy
1521,Adventurer Pro Backpack,High-capacity 65L backpack with ergonomic design and multiple compartments for extended adventures,Contoso Camping,BP-ADV-1521,Forest Green,Model-2024-Pro65,152,Backpacks,189.99,125.75,2.1,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
1531,Summit Breeze Jacket,Lightweight windproof hiking jacket with breathable fabric and packable design,Contoso Camping,JK-SUM-1531,Navy Blue,Model-2024-Breeze,153,Hiking Clothing,149.99,95.25,0.6,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
1541,TrekReady Hiking Boots,Waterproof hiking boots with ankle support and Vibram sole for rugged terrain,Contoso Camping,BT-TREK-1541,Brown,Model-2024-Ready,154,Hiking Footwear,179.99,118.75,1.4,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
1551,BaseCamp Folding Table,Lightweight aluminum folding table with adjustable height and compact storage,Contoso Camping,TB-BASE-1551,Silver,Model-2024-Fold,155,Camping Tables,89.99,58.25,3.2,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
1561,EcoFire Camping Stove,Compact propane camping stove with wind-resistant burner and easy ignition,Contoso Camping,ST-ECO-1561,Black,Model-2024-EcoFire,156,Camping Stoves,124.99,82.45,1.8,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
1571,CozyNights Sleeping Bag,3-season sleeping bag rated to 0°C with synthetic insulation and compression sack,Contoso Camping,SB-COZY-1571,Blue,Model-2024-Cozy3S,157,Sleeping Bags,159.99,105.75,1.9,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
1511,Alpine Explorer Tent,3-person 4-season tent with vestibule and color-coded setup for easy assembly,Contoso Camping,TN-ALP-1511,Orange,Model-2024-Explorer3,151,Tents,449.99,298.25,4.5,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
1522,SummitClimber Backpack,Technical mountaineering pack 45L with ice axe loops and hydration compatibility,Contoso Camping,BP-SUM-1522,Charcoal,Model-2024-Climber45,152,Backpacks,219.99,145.75,1.8,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
1532,TrailBlaze Hiking Pants,Convertible hiking pants with zip-off legs and UPF 50+ sun protection,Contoso Camping,PT-TRAIL-1532,Khaki,Model-2024-Blaze,153,Hiking Clothing,89.99,59.25,0.4,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
1542,TrailWalker Hiking Shoes,Lightweight hiking shoes with breathable mesh and aggressive tread pattern,Contoso Camping,SH-WALK-1542,Gray,Model-2024-Walker,154,Hiking Footwear,129.99,85.75,0.9,kg,active,1/10/2018,3/1/2018,,USD,8/18/2025,SampleGen,SampleGen
