EventID,DisruptionType,EventName,Description,Severity,Status,StartDate,EndDate,GeographicArea,IndustryImpact,PredictedDuration,ActualDuration,AlertLevel,ReportedBy,CreatedBy,CreatedDate,SupplierID,ProductCategory,ImpactLevel,DeliveryDelay,CostIncrease,AlternativeAction,EstimatedRevenueImpact
1,Supplier,Factory Maintenance - 1,Scheduled maintenance at key supplier facility,Medium,Resolved,2026-02-26,2026-03-23,Regional,Manufacturing,6,25.0,Orange,Supply Chain Monitor,system,2026-02-26,,,Low,8,20.76,Negotiate terms,13535.53
2,Supplier,Factory Maintenance - 2,Scheduled maintenance at key supplier facility,Medium,Resolved,2026-03-29,2026-04-03,Regional,Manufacturing,15,5.0,Red,Supply Chain Monitor,system,2026-03-29,,,Medium,2,1.45,Switch supplier,339453.83
3,Economic,Raw Material Shortage - 3,Global shortage of key manufacturing materials,Critical,Active,2025-10-23,,Global,Manufacturing,15,,Orange,Supply Chain Monitor,system,2025-10-23,,,Low,11,12.36,Increase safety stock,13802.88
4,Weather,Winter Storm Alpha - 4,Major winter storm affecting transportation networks,High,Resolved,2026-02-26,2026-03-20,Northwestern USA,Logistics,4,22.0,Red,Supply Chain Monitor,system,2026-02-26,,,Low,6,17.13,Expedite shipping,53591.34
5,Economic,Raw Material Shortage - 5,Global shortage of key manufacturing materials,Critical,Monitoring,2025-12-20,,Global,Manufacturing,6,,Yellow,Supply Chain Monitor,system,2025-12-20,,,High,5,12.8,Negotiate terms,494010.38
6,Weather,Winter Storm Alpha - 6,Major winter storm affecting transportation networks,High,Resolved,2025-10-16,2025-10-25,Northwestern USA,Logistics,7,9.0,Yellow,Supply Chain Monitor,system,2025-10-16,,,High,8,15.02,Negotiate terms,252824.97
7,Economic,Raw Material Shortage - 7,Global shortage of key manufacturing materials,Critical,Monitoring,2025-12-04,,Global,Manufacturing,15,,Red,Supply Chain Monitor,system,2025-12-04,,,Low,6,24.31,Increase safety stock,21076.08
8,Weather,Winter Storm Alpha - 8,Major winter storm affecting transportation networks,High,Resolved,2025-09-24,2025-10-01,Northwestern USA,Logistics,3,7.0,Yellow,Supply Chain Monitor,system,2025-09-24,,,Medium,8,11.14,,427688.5
9,Weather,Winter Storm Alpha - 9,Major winter storm affecting transportation networks,High,Active,2025-08-06,,Northwestern USA,Logistics,6,,Red,Supply Chain Monitor,system,2025-08-06,,,High,14,19.02,,58971.0
10,Supplier,Factory Maintenance - 10,Scheduled maintenance at key supplier facility,Medium,Resolved,2026-01-21,2026-01-29,Regional,Manufacturing,6,8.0,Yellow,Supply Chain Monitor,system,2026-01-21,,,High,5,9.32,Increase safety stock,275183.36
11,Supplier,Factory Maintenance - 11,Scheduled maintenance at key supplier facility,Medium,Resolved,2025-07-04,2025-07-28,Regional,Manufacturing,14,24.0,Orange,Supply Chain Monitor,system,2025-07-04,,,Medium,3,24.43,Switch supplier,242986.02
12,Weather,Winter Storm Alpha - 12,Major winter storm affecting transportation networks,High,Monitoring,2025-09-03,,Northwestern USA,Logistics,9,,Red,Supply Chain Monitor,system,2025-09-03,,,Medium,6,0.92,Switch supplier,187683.13
13,Economic,Raw Material Shortage - 13,Global shortage of key manufacturing materials,Critical,Active,2025-09-29,,Global,Manufacturing,17,,Orange,Supply Chain Monitor,system,2025-09-29,,,Low,1,10.72,Expedite shipping,278014.71
14,Weather,Winter Storm Alpha - 14,Major winter storm affecting transportation networks,High,Resolved,2026-01-29,2026-02-04,Northwestern USA,Logistics,9,6.0,Yellow,Supply Chain Monitor,system,2026-01-29,,,Low,5,22.43,Negotiate terms,333381.49
15,Weather,Winter Storm Alpha - 15,Major winter storm affecting transportation networks,High,Resolved,2026-03-04,2026-03-09,Northwestern USA,Logistics,21,5.0,Yellow,Supply Chain Monitor,system,2026-03-04,,,High,4,13.01,,5269.04
