TransactionID,ProductID,ProductName,ProductCategory,WarehouseLocation,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,Main,Transfer,2025-10-23,-14,151.56,-2121.84,TRF-1444,Warehouse Transfer,45,31,warehouse2,Transaction processed for Main location,system,2025-10-23
2,2071,Baking Pan,Kitchen,Main,Sale,2025-11-16,-30,17.67,-530.1,SO-94658,Customer Sale,103,73,warehouse1,Transaction processed for Main location,system,2025-11-16
3,3071,Ski Boot Bag - Premium,Ski,Main,Adjustment,2026-03-16,-19,40.38,-767.22,ADJ-3,Physical Count,137,118,warehouse2,Transaction processed for Main location,system,2026-03-16
4,1532,TrailBlaze Hiking Pants,Camping,Backup,Sale,2025-10-28,-12,67.5,-810.0,SO-86818,Customer Sale,28,16,warehouse1,Transaction processed for Backup location,system,2025-10-28
5,2081,Food Storage Set,Kitchen,Main,Sale,2025-07-18,-4,27.66,-110.64,SO-47613,Customer Sale,152,148,warehouse2,Transaction processed for Main location,system,2025-07-18
6,3081,All-Temp Ski Wax Kit,Ski,Backup,Receipt,2025-08-19,28,58.64,1641.79,PO-2069,Purchase Order Receipt,9,37,warehouse1,Transaction processed for Backup location,system,2025-08-19
7,3042,Aluminum All-Mountain Poles - 115cm,Ski,Main,Adjustment,2026-02-13,5,61.48,307.4,ADJ-7,Physical Count,83,88,warehouse2,Transaction processed for Main location,system,2026-02-13
8,1563,CompactCook Camping Stove,Camping,Backup,Adjustment,2025-09-29,-3,74.56,-223.68,ADJ-8,Cycle Count,56,53,warehouse2,Transaction processed for Backup location,system,2025-09-29
9,1511,Alpine Explorer Tent,Camping,Backup,Damage,2025-09-24,-9,327.59,-2948.31,DMG-9,Quality Issue,76,67,system,Transaction processed for Backup location,system,2025-09-24
10,2012,Espresso Machine,Kitchen,Backup,Sale,2026-03-01,-1,315.48,-315.48,SO-21795,Customer Sale,3,2,warehouse2,Transaction processed for Backup location,system,2026-03-01
11,1553,Adventure Dining Table,Camping,Regional,Sale,2026-04-15,-24,112.72,-2705.28,SO-10869,Customer Sale,149,125,warehouse2,Transaction processed for Regional location,system,2026-04-15
12,3051,Insulated Ski Jacket - Men's,Ski,Main,Adjustment,2025-07-25,-9,235.56,-2120.04,ADJ-12,Cycle Count,222,213,system,Transaction processed for Main location,system,2025-07-25
13,3061,Professional Ski Helmet,Ski,Main,Sale,2025-12-04,-30,144.99,-4349.7,SO-95678,Customer Sale,35,5,system,Transaction processed for Main location,system,2025-12-04
14,3013,Beginner's Choice Alpine Skis - 160cm,Ski,Backup,Receipt,2025-07-30,43,368.07,15827.15,PO-8044,Purchase Order Receipt,3,46,warehouse1,Transaction processed for Backup location,system,2025-07-30
15,3052,Thermal Base Layer Set - Women's,Ski,Regional,Receipt,2026-01-21,174,115.44,20086.34,PO-5878,Purchase Order Receipt,176,350,system,Transaction processed for Regional location,system,2026-01-21
16,3092,All-Mountain Snowboard - 158cm,Ski,Main,Sale,2025-10-30,-43,622.36,-26761.48,SO-51379,Customer Sale,79,36,warehouse1,Transaction processed for Main location,system,2025-10-30
17,2121,Bamboo Cutting Board Set,Kitchen,Main,Sale,2026-02-15,-21,30.3,-636.3,SO-63912,Customer Sale,80,59,warehouse2,Transaction processed for Main location,system,2026-02-15
18,3052,Thermal Base Layer Set - Women's,Ski,Backup,Sale,2026-01-29,-15,110.67,-1660.05,SO-56747,Customer Sale,36,21,system,Transaction processed for Backup location,system,2026-01-29
19,1553,Adventure Dining Table,Camping,Regional,Receipt,2026-01-26,145,113.83,16505.65,PO-8875,Purchase Order Receipt,124,269,warehouse1,Transaction processed for Regional location,system,2026-01-26
20,2091,Spatula,Kitchen,Main,Sale,2026-02-27,-29,9.76,-283.04,SO-30532,Customer Sale,149,120,warehouse2,Transaction processed for Main location,system,2026-02-27
21,2012,Espresso Machine,Kitchen,Main,Receipt,2026-02-07,106,327.4,34704.88,PO-6583,Purchase Order Receipt,102,208,system,Transaction processed for Main location,system,2026-02-07
22,2022,Fork Set,Kitchen,Main,Receipt,2026-04-21,112,30.88,3458.96,PO-8995,Purchase Order Receipt,19,131,warehouse1,Transaction processed for Main location,system,2026-04-21
23,1542,TrailWalker Hiking Shoes,Camping,Main,Adjustment,2025-10-18,1,92.66,92.66,ADJ-23,Cycle Count,43,44,warehouse1,Transaction processed for Main location,system,2025-10-18
24,3082,Edge Tuning Tool Set,Ski,Regional,Sale,2025-09-12,-24,91.1,-2186.4,SO-97588,Customer Sale,134,110,system,Transaction processed for Regional location,system,2025-09-12
25,1511,Alpine Explorer Tent,Camping,Backup,Sale,2025-11-01,-12,327.59,-3931.08,SO-27851,Customer Sale,140,128,warehouse2,Transaction processed for Backup location,system,2025-11-01
26,2071,Baking Pan,Kitchen,Main,Receipt,2025-10-10,38,17.85,678.31,PO-5441,Purchase Order Receipt,12,50,system,Transaction processed for Main location,system,2025-10-10
27,1533,RainGuard Hiking Jacket,Camping,Main,Sale,2026-02-25,-9,116.73,-1050.57,SO-17688,Customer Sale,20,11,warehouse1,Transaction processed for Main location,system,2026-02-25
28,1531,Summit Breeze Jacket,Camping,Regional,Receipt,2025-11-07,55,114.09,6274.82,PO-6862,Purchase Order Receipt,138,193,warehouse1,Transaction processed for Regional location,system,2025-11-07
29,2061,Mixing Bowl,Kitchen,Main,Sale,2026-01-16,-14,25.99,-363.86,SO-42007,Customer Sale,46,32,system,Transaction processed for Main location,system,2026-01-16
