TransactionID,ProductID,ProductName,ProductCategory,WarehouseLocation,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
1,1511,Alpine Explorer Tent,Camping,Main,Sale,2025-11-29,-6,319.45,-1916.7,SO-32242,Customer Sale,59,53,warehouse1,Transaction processed for Main location,system,2025-11-29
2,3101,Winter Boots - Insulated,Ski,Regional,Receipt,2026-04-15,163,110.83,18065.9,PO-5566,Purchase Order Receipt,149,312,system,Transaction processed for Regional location,system,2026-04-15
3,3041,Carbon Fiber Racing Poles - 120cm,Ski,Main,Sale,2025-12-20,-28,130.35,-3649.8,SO-16454,Customer Sale,34,6,warehouse2,Transaction processed for Main location,system,2025-12-20
4,3102,Winter Hiking Boots - Waterproof,Ski,Main,Sale,2025-08-17,-46,157.94,-7265.24,SO-79339,Customer Sale,50,4,warehouse2,Transaction processed for Main location,system,2025-08-17
5,3042,Aluminum All-Mountain Poles - 115cm,Ski,Backup,Return,2026-02-04,3,48.03,144.1,RET-46693,Customer Return,164,167,warehouse2,Transaction processed for Backup location,system,2026-02-04
6,1561,EcoFire Camping Stove,Camping,Backup,Damage,2025-11-21,-2,79.9,-159.8,DMG-6,Shipping Damage,33,31,system,Transaction processed for Backup location,system,2025-11-21
7,1511,Alpine Explorer Tent,Camping,Main,Receipt,2025-08-07,173,313.15,54174.41,PO-1441,Purchase Order Receipt,115,288,warehouse2,Transaction processed for Main location,system,2025-08-07
8,2091,Spatula,Kitchen,Main,Sale,2025-11-16,-42,8.02,-336.84,SO-15648,Customer Sale,63,21,system,Transaction processed for Main location,system,2025-11-16
9,3051,Insulated Ski Jacket - Men's,Ski,Main,Sale,2026-02-25,-42,205.78,-8642.76,SO-38214,Customer Sale,96,54,system,Transaction processed for Main location,system,2026-02-25
10,2051,Ice Cream Bowl,Kitchen,Main,Adjustment,2025-08-22,-13,18.6,-241.8,ADJ-10,System Correction,245,232,system,Transaction processed for Main location,system,2025-08-22
