EventID,DisruptionType,EventName,Description,Severity,Status,StartDate,EndDate,GeographicArea,IndustryImpact,PredictedDuration,ActualDuration,AlertLevel,ReportedBy,CreatedBy,CreatedDate,SupplierID,ProductCategory,ImpactLevel,DeliveryDelay,CostIncrease,AlternativeAction,EstimatedRevenueImpact
1,Economic,Raw Material Shortage - 1,Global shortage of key manufacturing materials,Critical,Resolved,2025-11-02,2025-11-24,Global,Manufacturing,13,22.0,Red,Supply Chain Monitor,system,2025-11-02,,,Low,12,15.63,Negotiate terms,209137.46
2,Supplier,Factory Maintenance - 2,Scheduled maintenance at key supplier facility,Medium,Resolved,2026-03-15,2026-03-16,Regional,Manufacturing,10,1.0,Yellow,Supply Chain Monitor,system,2026-03-15,,,High,13,0.35,,365706.28
3,Weather,Winter Storm Alpha - 3,Major winter storm affecting transportation networks,High,Resolved,2025-10-31,2025-11-15,Northwestern USA,Logistics,5,15.0,Red,Supply Chain Monitor,system,2025-10-31,,,High,2,4.77,Increase safety stock,253138.92
4,Supplier,Factory Maintenance - 4,Scheduled maintenance at key supplier facility,Medium,Resolved,2025-11-25,2025-12-22,Regional,Manufacturing,14,27.0,Red,Supply Chain Monitor,system,2025-11-25,,,Low,4,18.98,Negotiate terms,295138.06
5,Supplier,Factory Maintenance - 5,Scheduled maintenance at key supplier facility,Medium,Resolved,2026-02-07,2026-02-25,Regional,Manufacturing,21,18.0,Orange,Supply Chain Monitor,system,2026-02-07,,,Medium,11,2.54,Switch supplier,103977.88
6,Supplier,Factory Maintenance - 6,Scheduled maintenance at key supplier facility,Medium,Monitoring,2025-09-11,,Regional,Manufacturing,4,,Orange,Supply Chain Monitor,system,2025-09-11,,,Medium,3,6.99,Negotiate terms,206565.19
7,Supplier,Factory Maintenance - 7,Scheduled maintenance at key supplier facility,Medium,Resolved,2025-09-04,2025-09-27,Regional,Manufacturing,12,23.0,Orange,Supply Chain Monitor,system,2025-09-04,,,Low,12,4.14,Negotiate terms,433921.42
8,Economic,Raw Material Shortage - 8,Global shortage of key manufacturing materials,Critical,Resolved,2026-01-08,2026-01-17,Global,Manufacturing,11,9.0,Red,Supply Chain Monitor,system,2026-01-08,,,Medium,6,9.45,Increase safety stock,237302.12
9,Economic,Raw Material Shortage - 9,Global shortage of key manufacturing materials,Critical,Resolved,2025-11-11,2025-11-21,Global,Manufacturing,14,10.0,Orange,Supply Chain Monitor,system,2025-11-11,,,High,14,13.28,,89319.91
10,Economic,Raw Material Shortage - 10,Global shortage of key manufacturing materials,Critical,Monitoring,2025-08-19,,Global,Manufacturing,4,,Red,Supply Chain Monitor,system,2025-08-19,,,Medium,13,19.2,Switch supplier,168406.92
11,Economic,Raw Material Shortage - 11,Global shortage of key manufacturing materials,Critical,Resolved,2026-01-15,2026-02-01,Global,Manufacturing,17,17.0,Orange,Supply Chain Monitor,system,2026-01-15,,,Low,14,8.05,Increase safety stock,241990.12
12,Economic,Raw Material Shortage - 12,Global shortage of key manufacturing materials,Critical,Resolved,2025-11-18,2025-12-08,Global,Manufacturing,17,20.0,Orange,Supply Chain Monitor,system,2025-11-18,,,Medium,2,12.31,Expedite shipping,35870.52
13,Economic,Raw Material Shortage - 13,Global shortage of key manufacturing materials,Critical,Resolved,2025-10-21,2025-11-08,Global,Manufacturing,11,18.0,Red,Supply Chain Monitor,system,2025-10-21,,,Low,10,13.67,Increase safety stock,69193.19
14,Economic,Raw Material Shortage - 14,Global shortage of key manufacturing materials,Critical,Resolved,2025-09-28,2025-10-19,Global,Manufacturing,4,21.0,Orange,Supply Chain Monitor,system,2025-09-28,,,Low,9,4.11,Negotiate terms,304613.41
15,Weather,Winter Storm Alpha - 15,Major winter storm affecting transportation networks,High,Resolved,2026-03-08,2026-04-07,Northwestern USA,Logistics,7,30.0,Red,Supply Chain Monitor,system,2026-03-08,,,High,7,22.29,Increase safety stock,413152.05
