TransactionID,ProductID,ProductName,WarehouseID,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
1,2111,High-Speed Blender,WH_200,Transfer,2025-11-23,-17,129.6,2203.2,TRF-1157,Warehouse Transfer,222,205,System,Transaction processed for WH_200 location,system,2025-11-23
2,1532,TrailBlaze Hiking Pants,WH_500,Sale,2025-10-31,-29,54.8,1589.2,SO-56061,Customer Sale,141,112,System,Transaction processed for WH_500 location,system,2025-10-31
3,3072,Hand Warmers - 10 Pack,WH_100,Damage,2025-11-15,-6,8.13,48.78,DMG-3,Shipping Damage,84,78,System,Transaction processed for WH_100 location,system,2025-11-15
4,3031,Pro Flex Racing Ski Boots,WH_200,Sale,2025-12-01,-47,459.79,21610.13,SO-86443,Customer Sale,95,48,System,Transaction processed for WH_200 location,system,2025-12-01
5,3072,Hand Warmers - 10 Pack,WH_200,Receipt,2025-12-17,166,7.79,1292.33,PO-9818,Purchase Order Receipt,92,258,System,Transaction processed for WH_200 location,system,2025-12-17
6,3103,Snowboard Bindings - Pro,WH_200,Damage,2026-02-21,-1,177.45,177.45,DMG-6,Shipping Damage,25,24,System,Transaction processed for WH_200 location,system,2026-02-21
7,3052,Thermal Base Layer Set - Women's,WH_200,Sale,2026-01-03,-32,79.81,2553.92,SO-46475,Customer Sale,103,71,System,Transaction processed for WH_200 location,system,2026-01-03
8,3033,Women's Performance Ski Boots,WH_200,Adjustment,2025-11-21,-13,407.14,5292.82,ADJ-8,System Correction,103,90,System,Transaction processed for WH_200 location,system,2025-11-21
9,1532,TrailBlaze Hiking Pants,WH_500,Adjustment,2025-09-20,-18,54.8,986.4,ADJ-9,System Correction,177,159,System,Transaction processed for WH_500 location,system,2025-09-20
10,3062,Anti-Fog Ski Goggles,WH_500,Receipt,2026-01-26,62,70.57,4375.32,PO-1745,Purchase Order Receipt,42,104,System,Transaction processed for WH_500 location,system,2026-01-26
11,3092,All-Mountain Snowboard - 158cm,WH_100,Sale,2025-10-31,-6,488.21,2929.26,SO-96630,Customer Sale,6,0,System,Transaction processed for WH_100 location,system,2025-10-31
12,3062,Anti-Fog Ski Goggles,WH_500,Receipt,2025-09-13,132,73.46,9697.09,PO-6411,Purchase Order Receipt,89,221,System,Transaction processed for WH_500 location,system,2025-09-13
13,2011,Coffee Maker,WH_200,Sale,2025-09-13,-46,119.66,5504.36,SO-43589,Customer Sale,886,840,System,Transaction processed for WH_200 location,system,2025-09-13
14,2112,4-Slice Toaster,WH_200,Sale,2025-07-27,-6,57.27,343.62,SO-29157,Customer Sale,177,171,System,Transaction processed for WH_200 location,system,2025-07-27
15,3062,Anti-Fog Ski Goggles,WH_200,Transfer,2026-03-15,-31,71.96,2230.76,TRF-7182,Warehouse Transfer,68,37,System,Transaction processed for WH_200 location,system,2026-03-15
16,1532,TrailBlaze Hiking Pants,WH_500,Receipt,2025-10-05,22,53.17,1169.65,PO-2825,Purchase Order Receipt,181,203,System,Transaction processed for WH_500 location,system,2025-10-05
17,2112,4-Slice Toaster,WH_200,Sale,2026-04-25,-9,57.27,515.43,SO-98623,Customer Sale,238,229,System,Transaction processed for WH_200 location,system,2026-04-25
18,2022,Fork Set,WH_100,Sale,2026-04-24,-26,28.69,745.94,SO-29127,Customer Sale,1876,1850,System,Transaction processed for WH_100 location,system,2026-04-24
19,3103,Snowboard Bindings - Pro,WH_200,Sale,2025-10-14,-31,177.45,5500.95,SO-33366,Customer Sale,81,50,System,Transaction processed for WH_200 location,system,2025-10-14
20,1522,SummitClimber Backpack,WH_100,Sale,2026-01-27,-32,133.58,4274.56,SO-36689,Customer Sale,570,538,System,Transaction processed for WH_100 location,system,2026-01-27
21,1522,SummitClimber Backpack,WH_100,Sale,2026-01-15,-48,133.58,6411.84,SO-49917,Customer Sale,573,525,System,Transaction processed for WH_100 location,system,2026-01-15
22,1541,TrekReady Hiking Boots,WH_200,Sale,2025-09-29,-13,108.54,1411.02,SO-48533,Customer Sale,14,1,System,Transaction processed for WH_200 location,system,2025-09-29
23,3092,All-Mountain Snowboard - 158cm,WH_100,Receipt,2026-04-24,57,468.4,26698.57,PO-7341,Purchase Order Receipt,84,141,System,Transaction processed for WH_100 location,system,2026-04-24
24,2071,Baking Pan,WH_200,Receipt,2026-03-19,27,17.57,474.42,PO-6256,Purchase Order Receipt,376,403,System,Transaction processed for WH_200 location,system,2026-03-19
25,3041,Carbon Fiber Racing Poles - 120cm,WH_200,Sale,2025-07-11,-8,114.35,914.8,SO-76899,Customer Sale,94,86,System,Transaction processed for WH_200 location,system,2025-07-11
26,1541,TrekReady Hiking Boots,WH_200,Adjustment,2025-12-10,11,108.54,1193.94,ADJ-26,Cycle Count,131,142,System,Transaction processed for WH_200 location,system,2025-12-10
27,3013,Beginner's Choice Alpine Skis - 160cm,WH_100,Sale,2025-08-29,-29,305.41,8856.89,SO-69947,Customer Sale,152,123,System,Transaction processed for WH_100 location,system,2025-08-29
28,1531,Summit Breeze Jacket,WH_500,Return,2025-09-29,2,68.57,137.14,RET-62854,Customer Return,848,850,System,Transaction processed for WH_500 location,system,2025-09-29
29,3021,Nordic Classic XC Skis - 185cm,WH_200,Receipt,2025-11-17,81,240.29,19463.7,PO-7361,Purchase Order Receipt,67,148,System,Transaction processed for WH_200 location,system,2025-11-17
30,3062,Anti-Fog Ski Goggles,WH_200,Adjustment,2026-03-04,16,71.96,1151.36,ADJ-30,System Correction,80,96,System,Transaction processed for WH_200 location,system,2026-03-04
31,1572,MountainDream Sleeping Bag,WH_200,Sale,2026-04-13,-4,177.25,709.0,SO-78812,Customer Sale,423,419,System,Transaction processed for WH_200 location,system,2026-04-13
32,2111,High-Speed Blender,WH_200,Sale,2025-07-09,-32,129.6,4147.2,SO-89133,Customer Sale,172,140,System,Transaction processed for WH_200 location,system,2025-07-09
33,3031,Pro Flex Racing Ski Boots,WH_200,Sale,2026-03-01,-6,459.79,2758.74,SO-96935,Customer Sale,76,70,System,Transaction processed for WH_200 location,system,2026-03-01
34,1572,MountainDream Sleeping Bag,WH_200,Sale,2026-01-02,-43,177.25,7621.75,SO-18883,Customer Sale,163,120,System,Transaction processed for WH_200 location,system,2026-01-02
35,2112,4-Slice Toaster,WH_200,Adjustment,2025-09-14,18,57.27,1030.86,ADJ-35,Physical Count,179,197,System,Transaction processed for WH_200 location,system,2025-09-14
36,3091,Freestyle Snowboard - 155cm,WH_100,Return,2026-03-31,3,331.78,995.35,RET-12120,Customer Return,80,83,System,Transaction processed for WH_100 location,system,2026-03-31
37,2011,Coffee Maker,WH_200,Sale,2026-04-26,-10,119.66,1196.6,SO-20791,Customer Sale,1877,1867,System,Transaction processed for WH_200 location,system,2026-04-26
38,3103,Snowboard Bindings - Pro,WH_200,Sale,2025-10-10,-13,177.45,2306.85,SO-50430,Customer Sale,75,62,System,Transaction processed for WH_200 location,system,2025-10-10
39,2071,Baking Pan,WH_200,Transfer,2025-07-19,-31,17.53,543.43,TRF-6017,Warehouse Transfer,257,226,System,Transaction processed for WH_200 location,system,2025-07-19
40,1561,EcoFire Camping Stove,WH_100,Sale,2025-11-02,-50,79.86,3993.0,SO-99714,Customer Sale,239,189,System,Transaction processed for WH_100 location,system,2025-11-02
41,3053,Waterproof Ski Pants,WH_100,Receipt,2026-04-27,135,127.26,17180.02,PO-4411,Purchase Order Receipt,128,263,System,Transaction processed for WH_100 location,system,2026-04-27
42,3033,Women's Performance Ski Boots,WH_200,Sale,2026-03-06,-5,407.14,2035.7,SO-90647,Customer Sale,118,113,System,Transaction processed for WH_200 location,system,2026-03-06
43,1571,CozyNights Sleeping Bag,WH_100,Sale,2026-03-05,-42,102.1,4288.2,SO-79598,Customer Sale,126,84,System,Transaction processed for WH_100 location,system,2026-03-05
44,3012,Mountain Master All-Terrain Skis - 165cm,WH_100,Receipt,2025-07-02,46,544.33,25039.21,PO-5509,Purchase Order Receipt,102,148,System,Transaction processed for WH_100 location,system,2025-07-02
45,1531,Summit Breeze Jacket,WH_500,Adjustment,2026-02-02,0,85.71,0.0,ADJ-45,System Correction,927,927,System,Transaction processed for WH_500 location,system,2026-02-02
46,2031,Coffee Mug,WH_200,Transfer,2025-12-28,-23,20.25,465.75,TRF-6654,Warehouse Transfer,1585,1562,System,Transaction processed for WH_200 location,system,2025-12-28
47,3012,Mountain Master All-Terrain Skis - 165cm,WH_100,Adjustment,2026-02-28,-8,568.23,4545.84,ADJ-47,Cycle Count,33,25,System,Transaction processed for WH_100 location,system,2026-02-28
48,1522,SummitClimber Backpack,WH_100,Sale,2025-08-05,-47,133.58,6278.26,SO-95185,Customer Sale,527,480,System,Transaction processed for WH_100 location,system,2025-08-05
49,1562,PowerBurner Camping Stove,WH_100,Return,2025-11-14,2,90.25,180.5,RET-21189,Customer Return,219,221,System,Transaction processed for WH_100 location,system,2025-11-14
50,2121,Bamboo Cutting Board Set,WH_100,Receipt,2025-07-26,132,29.89,3945.98,PO-5817,Purchase Order Receipt,248,380,System,Transaction processed for WH_100 location,system,2025-07-26
51,3102,Winter Hiking Boots - Waterproof,WH_100,Sale,2026-04-04,-31,134.96,4183.76,SO-90230,Customer Sale,54,23,System,Transaction processed for WH_100 location,system,2026-04-04
52,1562,PowerBurner Camping Stove,WH_200,Receipt,2025-09-03,170,107.84,18332.81,PO-4420,Purchase Order Receipt,67,237,System,Transaction processed for WH_200 location,system,2025-09-03
53,2121,Bamboo Cutting Board Set,WH_100,Adjustment,2025-08-06,-12,29.56,354.72,ADJ-53,Physical Count,74,62,System,Transaction processed for WH_100 location,system,2025-08-06
54,2051,Ice Cream Bowl,WH_100,Sale,2025-10-19,-37,15.41,570.17,SO-71703,Customer Sale,1107,1070,System,Transaction processed for WH_100 location,system,2025-10-19
55,1572,MountainDream Sleeping Bag,WH_200,Sale,2026-02-14,-33,177.25,5849.25,SO-71333,Customer Sale,305,272,System,Transaction processed for WH_200 location,system,2026-02-14
56,1543,TrekStar Hiking Sandals,WH_200,Sale,2025-10-18,-6,52.24,313.44,SO-82004,Customer Sale,142,136,System,Transaction processed for WH_200 location,system,2025-10-18
57,1523,TrailLite Daypack,WH_100,Sale,2026-01-24,-50,47.3,2365.0,SO-33245,Customer Sale,757,707,System,Transaction processed for WH_100 location,system,2026-01-24
58,2041,Serving Platter,WH_500,Sale,2025-08-28,-49,43.57,2134.93,SO-20977,Customer Sale,2308,2259,System,Transaction processed for WH_500 location,system,2025-08-28
59,2101,Measuring Cup Set,WH_100,Adjustment,2026-04-19,6,12.84,77.04,ADJ-59,System Correction,850,856,System,Transaction processed for WH_100 location,system,2026-04-19
60,3091,Freestyle Snowboard - 155cm,WH_200,Sale,2025-11-13,-3,414.73,1244.19,SO-22367,Customer Sale,23,20,System,Transaction processed for WH_200 location,system,2025-11-13
61,1511,Alpine Explorer Tent,WH_500,Receipt,2026-01-24,109,280.2,30541.57,PO-7584,Purchase Order Receipt,1048,1157,System,Transaction processed for WH_500 location,system,2026-01-24
62,3032,Comfort Fit Recreational Boots,WH_200,Adjustment,2025-10-13,0,276.26,0.0,ADJ-62,Physical Count,28,28,System,Transaction processed for WH_200 location,system,2025-10-13
63,1522,SummitClimber Backpack,WH_100,Receipt,2026-03-26,67,134.39,9004.43,PO-1314,Purchase Order Receipt,658,725,System,Transaction processed for WH_100 location,system,2026-03-26
64,1552,TrekMaster Camping Chair,WH_200,Sale,2026-04-11,-28,45.98,1287.44,SO-10140,Customer Sale,28,0,System,Transaction processed for WH_200 location,system,2026-04-11
65,3072,Hand Warmers - 10 Pack,WH_100,Receipt,2026-01-08,162,8.39,1359.9,PO-3154,Purchase Order Receipt,16,178,System,Transaction processed for WH_100 location,system,2026-01-08
66,3021,Nordic Classic XC Skis - 185cm,WH_100,Sale,2025-10-18,-22,229.72,5053.84,SO-53810,Customer Sale,54,32,System,Transaction processed for WH_100 location,system,2025-10-18
67,2121,Bamboo Cutting Board Set,WH_200,Sale,2025-10-15,-34,29.56,1005.04,SO-72090,Customer Sale,66,32,System,Transaction processed for WH_200 location,system,2025-10-15
68,2112,4-Slice Toaster,WH_200,Sale,2025-12-15,-40,57.27,2290.8,SO-19825,Customer Sale,668,628,System,Transaction processed for WH_200 location,system,2025-12-15
69,1581,LED Headlamp - Rechargeable,WH_100,Damage,2025-12-10,-1,44.25,44.25,DMG-69,Shipping Damage,56,55,System,Transaction processed for WH_100 location,system,2025-12-10
70,2101,Measuring Cup Set,WH_100,Return,2025-07-14,4,10.27,41.09,RET-45463,Customer Return,748,752,System,Transaction processed for WH_100 location,system,2025-07-14
