InventoryID,ProductID,ProductName,ProductCategory,WarehouseLocation,CurrentStock,ReservedStock,AvailableStock,SafetyStockLevel,ReorderPoint,MaxStockLevel,LastUpdated,AverageCost,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,Backup,178,30,148,30,46,209,2026-04-28,114.97,Active,system,2025-08-29
2,1531,Summit Breeze Jacket,Camping,Main,92,25,67,31,47,151,2026-04-29,108.88,Active,system,2025-10-02
3,1531,Summit Breeze Jacket,Camping,Backup,37,0,37,31,47,151,2026-04-29,108.88,Active,system,2025-10-02
4,1541,TrekReady Hiking Boots,Camping,Backup,72,18,54,11,15,82,2026-04-28,108.03,Active,system,2026-02-14
5,1551,BaseCamp Folding Table,Camping,Regional,180,46,134,27,42,192,2026-04-28,71.85,Active,system,2025-10-25
6,1561,EcoFire Camping Stove,Camping,Main,82,15,67,9,14,85,2026-04-29,79.9,Active,system,2025-07-14
7,1561,EcoFire Camping Stove,Camping,Backup,16,0,16,9,14,85,2026-04-29,79.9,Active,system,2025-07-14
8,1571,CozyNights Sleeping Bag,Camping,Backup,50,8,42,13,21,88,2026-04-28,124.78,Active,system,2026-03-23
9,1511,Alpine Explorer Tent,Camping,Main,39,6,33,43,68,179,2026-04-28,319.45,LowStock,system,2026-02-27
10,1522,SummitClimber Backpack,Camping,Backup,36,4,32,25,33,90,2026-04-28,161.55,Active,system,2025-09-23
11,1532,TrailBlaze Hiking Pants,Camping,Main,11,2,9,12,23,57,2026-04-28,64.18,LowStock,system,2026-01-20
12,1532,TrailBlaze Hiking Pants,Camping,Backup,3,0,3,12,23,57,2026-04-28,64.18,Active,system,2026-01-20
13,1542,TrailWalker Hiking Shoes,Camping,Main,8,1,7,8,12,67,2026-04-29,98.4,LowStock,system,2025-11-11
14,1542,TrailWalker Hiking Shoes,Camping,Backup,2,0,2,8,12,67,2026-04-29,98.4,Active,system,2025-11-11
15,1552,TrekMaster Camping Chair,Camping,Main,95,19,76,15,25,151,2026-04-29,57.02,Active,system,2025-08-20
16,1562,PowerBurner Camping Stove,Camping,Main,55,9,46,26,45,167,2026-04-28,135.55,Active,system,2025-08-18
17,1572,MountainDream Sleeping Bag,Camping,Main,86,20,66,26,34,271,2026-04-29,223.02,Active,system,2025-09-21
18,1512,SkyView 2-Person Tent,Camping,Backup,109,15,94,18,33,149,2026-04-29,216.49,Active,system,2025-09-11
19,1523,TrailLite Daypack,Camping,Main,150,28,122,43,73,251,2026-04-28,52.89,Active,system,2025-10-17
20,1523,TrailLite Daypack,Camping,Backup,32,0,32,43,73,251,2026-04-28,52.89,Active,system,2025-10-17
21,1533,RainGuard Hiking Jacket,Camping,Main,15,3,12,7,12,37,2026-04-29,135.73,Active,system,2026-02-22
22,1543,TrekStar Hiking Sandals,Camping,Regional,23,6,17,39,63,196,2026-04-29,62.07,LowStock,system,2025-09-19
23,1543,TrekStar Hiking Sandals,Camping,Backup,8,0,8,39,63,196,2026-04-29,62.07,Active,system,2025-09-19
24,1553,Adventure Dining Table,Camping,Backup,185,22,163,37,54,190,2026-04-28,110.31,Active,system,2026-03-17
25,1563,CompactCook Camping Stove,Camping,Main,50,10,40,27,52,127,2026-04-29,63.43,Active,system,2025-11-02
26,1581,LED Headlamp - Rechargeable,Camping,Main,113,25,88,34,58,193,2026-04-28,55.53,Active,system,2025-09-12
27,2011,Coffee Maker,Kitchen,Main,27,3,24,21,30,144,2026-04-29,128.11,Active,system,2025-09-16
28,2012,Espresso Machine,Kitchen,Main,12,2,10,8,9,51,2026-04-29,285.82,Active,system,2025-12-13
