ProductSupplierID,ProductID,ProductName,ProductCategory,SupplierID,SupplierName,SupplierProductCode,WholesaleCost,MinOrderQuantity,MaxOrderQuantity,LeadTimeDays,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,1,Contoso Ltd,CON-1521,114.97,1,10000.0,8,Active,system,2026-02-23
2,1531,Summit Breeze Jacket,Camping,1,Contoso Ltd,CON-1531,108.88,5,10000.0,10,Active,system,2026-03-10
3,1541,TrekReady Hiking Boots,Camping,1,Contoso Ltd,CON-1541,108.03,25,,9,Active,system,2026-03-12
4,1551,BaseCamp Folding Table,Camping,1,Contoso Ltd,CON-1551,71.85,25,1000.0,12,Active,system,2025-12-03
5,1561,EcoFire Camping Stove,Camping,1,Contoso Ltd,CON-1561,79.9,5,,13,Active,system,2025-12-16
6,1571,CozyNights Sleeping Bag,Camping,1,Contoso Ltd,CON-1571,122.76,1,10000.0,7,Active,system,2025-11-20
7,1571,CozyNights Sleeping Bag,Camping,4,Worldwide Importers,WOR-1571,126.79,50,,19,Active,system,2026-02-17
8,1511,Alpine Explorer Tent,Camping,1,Contoso Ltd,CON-1511,319.45,25,5000.0,9,Active,system,2026-02-06
9,1522,SummitClimber Backpack,Camping,1,Contoso Ltd,CON-1522,161.55,1,5000.0,11,Active,system,2026-03-29
10,1532,TrailBlaze Hiking Pants,Camping,1,Contoso Ltd,CON-1532,64.18,1,1000.0,11,Active,system,2025-11-11
11,1542,TrailWalker Hiking Shoes,Camping,1,Contoso Ltd,CON-1542,98.4,5,10000.0,9,Active,system,2026-03-16
12,1552,TrekMaster Camping Chair,Camping,1,Contoso Ltd,CON-1552,57.02,50,,10,Active,system,2026-01-04
13,1562,PowerBurner Camping Stove,Camping,1,Contoso Ltd,CON-1562,135.02,1,,8,Active,system,2025-11-10
14,1562,PowerBurner Camping Stove,Camping,4,Worldwide Importers,WOR-1562,136.07,25,2000.0,21,Active,system,2026-02-04
15,1572,MountainDream Sleeping Bag,Camping,1,Contoso Ltd,CON-1572,223.02,50,10000.0,13,Active,system,2025-12-29
16,1512,SkyView 2-Person Tent,Camping,1,Contoso Ltd,CON-1512,216.49,10,5000.0,11,Active,system,2025-11-25
17,1523,TrailLite Daypack,Camping,1,Contoso Ltd,CON-1523,52.89,10,1000.0,11,Active,system,2026-01-09
18,1533,RainGuard Hiking Jacket,Camping,1,Contoso Ltd,CON-1533,135.73,50,10000.0,13,Active,system,2026-02-06
19,1543,TrekStar Hiking Sandals,Camping,1,Contoso Ltd,CON-1543,62.07,1,5000.0,13,Active,system,2026-02-20
20,1553,Adventure Dining Table,Camping,1,Contoso Ltd,CON-1553,110.31,10,5000.0,9,Active,system,2026-03-23
21,1563,CompactCook Camping Stove,Camping,1,Contoso Ltd,CON-1563,63.62,1,1000.0,11,Active,system,2026-03-08
