EventID,SupplierID,DisruptionType,EventName,Description,Severity,Status,StartDate,EndDate,GeographicArea,IndustryImpact,PredictedDuration,ActualDuration,AlertLevel,ReportedBy,CreatedBy,CreatedDate
1,2,Supplier,Factory Maintenance,Scheduled maintenance at key supplier facility,Medium,Resolved,1/23/2026,2/18/2026,Regional,Manufacturing,18,26,Red,Supply Chain Monitor,system,1/25/2026
2,3,Economic,Raw Material Shortage,Global shortage of key manufacturing materials,Critical,Resolved,2/20/2026,3/3/2026,Global,Manufacturing,15,11,Yellow,Supply Chain Monitor,system,2/21/2026
3,1,Supplier,Factory Maintenance,Scheduled maintenance at key supplier facility,Medium,Resolved,1/5/2026,1/16/2026,Regional,Manufacturing,18,11,Orange,Supply Chain Monitor,system,1/7/2026
4,2,Weather,Winter Storm Alpha,Major winter storm affecting transportation networks,High,Monitoring,4/20/2026,,Northwestern USA,Logistics,12,,Orange,Supply Chain Monitor,system,4/23/2026
5,3,Economic,Raw Material Shortage,Global shortage of key manufacturing materials,Critical,Resolved,11/15/2025,11/26/2025,Global,Manufacturing,16,11,Yellow,Supply Chain Monitor,system,11/18/2025
6,1,Supplier,Factory Maintenance,Scheduled maintenance at key supplier facility,Medium,Resolved,2/8/2026,3/3/2026,Regional,Manufacturing,19,23,Orange,Supply Chain Monitor,system,2/8/2026
7,2,Supplier,Factory Maintenance,Scheduled maintenance at key supplier facility,Medium,Active,2/15/2026,,Regional,Manufacturing,17,,Red,Supply Chain Monitor,system,2/15/2026
8,3,Supplier,Factory Maintenance,Scheduled maintenance at key supplier facility,Medium,Resolved,1/19/2026,2/6/2026,Regional,Manufacturing,8,18,Orange,Supply Chain Monitor,system,1/21/2026
9,1,Economic,Raw Material Shortage,Global shortage of key manufacturing materials,Critical,Resolved,12/14/2025,1/1/2026,Global,Manufacturing,7,18,Yellow,Supply Chain Monitor,system,12/17/2025
10,2,Supplier,Factory Maintenance,Scheduled maintenance at key supplier facility,Medium,Resolved,9/16/2025,9/23/2025,Regional,Manufacturing,6,7,Red,Supply Chain Monitor,system,9/18/2025
11,3,Weather,Winter Storm Alpha,Major winter storm affecting transportation networks,High,Resolved,4/9/2026,4/20/2026,Northwestern USA,Logistics,15,11,Red,Supply Chain Monitor,system,4/9/2026
12,1,Supplier,Factory Maintenance,Scheduled maintenance at key supplier facility,Medium,Resolved,1/16/2026,1/17/2026,Regional,Manufacturing,15,1,Yellow,Supply Chain Monitor,system,1/16/2026
13,2,Supplier,Factory Maintenance,Scheduled maintenance at key supplier facility,Medium,Resolved,2/8/2026,2/16/2026,Regional,Manufacturing,19,8,Orange,Supply Chain Monitor,system,2/8/2026
14,3,Economic,Raw Material Shortage,Global shortage of key manufacturing materials,Critical,Active,3/23/2026,,Global,Manufacturing,15,,Yellow,Supply Chain Monitor,system,3/23/2026
15,1,Economic,Raw Material Shortage,Global shortage of key manufacturing materials,Critical,Resolved,1/4/2026,1/18/2026,Global,Manufacturing,8,14,Red,Supply Chain Monitor,system,1/4/2026
